id,name,jl_number,longitude,latitude,ac_id
21990,Benakuriya,40,87.07860440000002,23.2324146,928
21999,Bandeuli,54,86.8596744,23.1279278,924
22010,Jamshol,65,87.4083557,23.1854633,933
22023,Muktapur,78,87.2077022,23.072699,930
22069,Jaypur,124,87.44801149999998,23.0551658,932
22078,Kantaboni,133,87.0140062,23.3387685,928
22095,Kanchanpur,150,87.0942627,23.3116417,928
22097,Hajipur,152,87.45668169999998,23.0806023,932
22117,Beluth,172,86.76426239999998,23.191447600000004,924
22158,Murakata,340,87.16348070000002,23.1678738,930
22203,Murakata,227,87.16348070000002,23.1678738,930
22241,Patpur,256,87.06117720000002,23.2314562,928
22325,Kantabani,304,87.16036489999998,23.3589526,929
22443,Khuliya,447,87.254561,23.3729073,929
22505,Taldiha,509,87.06492390000003,22.9592801,927
22516,Kamargram,520,87.36494350000002,23.2487178,934
22529,Mangalpur,533,87.68030279999998,23.0706329,933
22540,Chakai,544,87.36742530000002,23.3796595,934
22685,Bentkuriya,689,87.07860440000002,23.2324146,928
22750,Talda,18,87.07865919999998,22.907452600000006,927
22758,Dakshin Amdiha,26,86.8849572,23.3741508,924
22792,Makmalpur,62,86.84650359999998,23.3009283,924
22875,Rautara,176,86.66362690000003,22.8264226,925
22893,Kusmi,201,87.0686703,23.0233281,927
23017,Kantaboni,191,87.0140062,23.3387685,928
23067,Sankarara,379,87.185908,23.3794891,929
23157,Birsingpur,38,87.37983220000002,23.3352443,934
23247,Murakata,167,87.16348070000002,23.1678738,930
23267,Mangalpur,205,87.68030279999998,23.0706329,933
23395,Nilat,274,87.21589190000002,23.3181843,929
23430,Talda,309,87.07865919999998,22.907452600000006,927
23526,BISHNUPUR,407,87.31652220000002,23.0678795,931
23561,Kamalpur,26,86.84650359999998,23.3009283,924
23580,Bishnupur,45,87.31652220000002,23.0678795,931
23583,Kanchanpur,48,87.0942627,23.3116417,928
23599,Bikrampur,64,87.1497698,23.169115100000006,930
23692,Damodar pur-(158),158,87.0311931,23.4896491,923
23726,Bishnupur -192,192,87.3177736,23.063505300000006,931
23790,Belgeria-256,256,87.0558696,22.9144485,927
23813,Sekendarchak,279,87.5704815,23.2044032,934
23830,Chakshyampur,296,87.13480799999998,22.996263,927
23839,Fulgeria,305,87.2307309,23.3386414,929
23846,Brindabanpur-312,312,87.33513690000002,23.259208,934
23968,LACHHIPUR,434,87.0158814,23.4086953,923
23981,Chakshyampur-447,447,87.1327561,23.0065547,927
23993,Sekendarchak,459,87.5704815,23.2044032,934
24017,RADHA MOHANPUR,483,87.44677279999998,23.3422943,934
24043,Metala(396),396,87.07874179999997,23.3882015,929
24052,Manglapur,409,87.68030279999998,23.0706329,933
24064,Kharkata(427),427,87.40525699999998,22.97889,931
24070,Seuli,434,86.9128676,23.330863,924
24129,Amdoba,533,86.8308194,22.9800878,925
24131,Uparshol,535,87.3996765,22.9814636,931
24134,Fulamanipur,538,86.7919009,22.9569938,925
24135,Ekarya,539,87.24317409999998,23.3418345,929
24162,Taldangra,566,87.10487020000002,23.0195276,927
24176,Bheduyashol,580,86.9066836,23.1147214,924
24186,Patpur (590),590,87.06117720000002,23.2314562,928
24189,Kankrasole-(593),593,86.9326103,22.7878917,926
24224,Fulberia,628,87.2307309,23.3386414,929
24225,Sonakara,629,87.5136167,23.1588819,933
24274,Satdeuli,796,87.0261939,23.5549691,923
24290,Chandai,812,87.3438429,23.3866994,929
24309,Patpur (831),831,87.06117720000002,23.2314562,928
24397,Keshia,10,86.9367456,22.9962943,925
24405,Sosabedia,18,87.1609881,23.3849896,929
24411,Kadma,24,87.04368869999998,22.7252542,926
24439,Kharkata (052),52,87.40525699999998,22.97889,931
24445,Tentulmuri(058),58,87.5739959,23.0442721,932
24460,Bankishol,73,87.4678266,23.1685717,933
24461,Sirisbani,74,86.8834981,22.698416100000006,926
24465,Kadashol,78,87.2705376,23.4374952,929
24475,Dumuria,88,87.1054941,23.4620457,923
24476,Chhagulia,89,87.0536829,23.165868,930
24484,Madhuban,97,87.3525325,23.0878276,931
24485,Kustara,98,86.9235958,23.2020647,928
24495,Chautar,108,87.0011902,22.7304195,926
24496,Ampata,109,87.03619169999996,22.7161863,926
24504,Gorabari,117,86.77808359999999,22.952252,925
24538,Kesia,151,87.0286936,22.757719100000006,926
24542,Saltora,155,86.9342411,23.524204,923
24571,Garduara,184,86.84963979999998,23.1574762,924
24590,Jaypur,203,87.44801149999998,23.0551658,932
